id,type,group,name
210,5,ctrltargetZ,ax
211,5,ctrltargetZ,ay
212,5,ctrltargetZ,az
213,7,mag,x
214,7,mag,y
215,7,mag,z
216,7,stabilizer,roll
217,7,stabilizer,pitch
218,7,stabilizer,yaw
219,7,stabilizer,thrust
220,7,stabilizer,rtStab
221,3,stabilizer,intToOut
222,7,stateEstimate,x
223,7,stateEstimate,y
224,7,stateEstimate,z
225,7,stateEstimate,vx
226,7,stateEstimate,vy
227,7,stateEstimate,vz
228,7,stateEstimate,ax
229,7,stateEstimate,ay
230,7,stateEstimate,az
231,7,stateEstimate,roll
232,7,stateEstimate,pitch
233,7,stateEstimate,yaw
234,7,stateEstimate,qx
235,7,stateEstimate,qy
236,7,stateEstimate,qz
237,7,stateEstimate,qw
238,5,stateEstimateZ,x
239,5,stateEstimateZ,y
240,5,stateEstimateZ,z
241,5,stateEstimateZ,vx
242,5,stateEstimateZ,vy
243,5,stateEstimateZ,vz
244,5,stateEstimateZ,ax
245,5,stateEstimateZ,ay
246,5,stateEstimateZ,az
247,3,stateEstimateZ,quat
248,5,stateEstimateZ,rateRoll
249,5,stateEstimateZ,ratePitch
250,5,stateEstimateZ,rateYaw
251,2,supervisor,info
252,1,sys,canfly
253,1,sys,isFlying
254,1,sys,isTumbled
255,4,sys,testLogParam
256,7,tdoaEngine,stRx
257,7,tdoaEngine,stEst
258,7,tdoaEngine,stTime
259,7,tdoaEngine,stFound
260,7,tdoaEngine,stCc
261,7,tdoaEngine,stHit
262,7,tdoaEngine,stMiss
263,7,tdoaEngine,cc
264,2,tdoaEngine,tof
265,7,tdoaEngine,tdoa
266,7,kalman_pred,predNX
267,7,kalman_pred,predNY
268,7,kalman_pred,measNX
269,7,kalman_pred,measNY
270,1,lighthouse,validAngles
271,7,lighthouse,rawAngle0x
272,7,lighthouse,rawAngle0y
273,7,lighthouse,rawAngle1x
274,7,lighthouse,rawAngle1y
275,7,lighthouse,angle0x
276,7,lighthouse,angle0y
277,7,lighthouse,angle1x
278,7,lighthouse,angle1y
279,7,lighthouse,angle0x_1
280,7,lighthouse,angle0y_1
281,7,lighthouse,angle1x_1
282,7,lighthouse,angle1y_1
283,7,lighthouse,angle0x_2
284,7,lighthouse,angle0y_2
285,7,lighthouse,angle1x_2
286,7,lighthouse,angle1y_2
287,7,lighthouse,angle0x_3
288,7,lighthouse,angle0y_3
289,7,lighthouse,angle1x_3
290,7,lighthouse,angle1y_3
291,7,lighthouse,rawAngle0xlh2
292,7,lighthouse,rawAngle0ylh2
293,7,lighthouse,rawAngle1xlh2
294,7,lighthouse,rawAngle1ylh2
295,7,lighthouse,angle0x_0lh2
296,7,lighthouse,angle0y_0lh2
297,7,lighthouse,angle1x_0lh2
298,7,lighthouse,angle1y_0lh2
299,2,lighthouse,width0
300,2,lighthouse,width1
301,2,lighthouse,width2
302,2,lighthouse,width3
303,1,lighthouse,comSync
304,2,lighthouse,bsAvailable
305,2,lighthouse,bsReceive
306,2,lighthouse,bsActive
307,2,lighthouse,bsCalUd
308,2,lighthouse,bsCalCon
309,1,lighthouse,status
310,7,lighthouse,posRt
311,7,lighthouse,estBs0Rt
312,7,lighthouse,estBs1Rt
313,7,lighthouse,x
314,7,lighthouse,y
315,7,lighthouse,z
316,7,lighthouse,delta
317,2,lighthouse,bsGeoVal
318,2,lighthouse,bsCalVal
319,7,lighthouse,disProb
320,7,pid_attitude,roll_outP
321,7,pid_attitude,roll_outI
322,7,pid_attitude,roll_outD
323,7,pid_attitude,roll_outFF
324,7,pid_attitude,pitch_outP
325,7,pid_attitude,pitch_outI
326,7,pid_attitude,pitch_outD
327,7,pid_attitude,pitch_outFF
328,7,pid_attitude,yaw_outP
329,7,pid_attitude,yaw_outI
330,7,pid_attitude,yaw_outD
331,7,pid_attitude,yaw_outFF
332,7,pid_rate,roll_outP
333,7,pid_rate,roll_outI
334,7,pid_rate,roll_outD
335,7,pid_rate,roll_outFF
336,7,pid_rate,pitch_outP
337,7,pid_rate,pitch_outI
338,7,pid_rate,pitch_outD
339,7,pid_rate,pitch_outFF
340,7,pid_rate,yaw_outP
341,7,pid_rate,yaw_outI
342,7,pid_rate,yaw_outD
343,7,pid_rate,yaw_outFF
344,7,ctrlINDI,cmd_thrust
345,7,ctrlINDI,cmd_roll
346,7,ctrlINDI,cmd_pitch
347,7,ctrlINDI,cmd_yaw
348,7,ctrlINDI,r_roll
349,7,ctrlINDI,r_pitch
350,7,ctrlINDI,r_yaw
351,7,ctrlINDI,u_act_dyn_p
352,7,ctrlINDI,u_act_dyn_q
353,7,ctrlINDI,u_act_dyn_r
354,7,ctrlINDI,du_p
355,7,ctrlINDI,du_q
356,7,ctrlINDI,du_r
357,7,ctrlINDI,ang_accel_ref_p
358,7,ctrlINDI,ang_accel_ref_q
359,7,ctrlINDI,ang_accel_ref_r
360,7,ctrlINDI,rate_d[0]
361,7,ctrlINDI,rate_d[1]
362,7,ctrlINDI,rate_d[2]
363,7,ctrlINDI,uf_p
364,7,ctrlINDI,uf_q
365,7,ctrlINDI,uf_r
366,7,ctrlINDI,Omega_f_p
367,7,ctrlINDI,Omega_f_q
368,7,ctrlINDI,Omega_f_r
369,7,ctrlINDI,n_p
370,7,ctrlINDI,n_q
371,7,ctrlINDI,n_r
372,7,ctrlMel,cmd_thrust
373,7,ctrlMel,cmd_roll
374,7,ctrlMel,cmd_pitch
375,7,ctrlMel,cmd_yaw
376,7,ctrlMel,r_roll
377,7,ctrlMel,r_pitch
378,7,ctrlMel,r_yaw
379,7,ctrlMel,accelz
380,7,ctrlMel,zdx
381,7,ctrlMel,zdy
382,7,ctrlMel,zdz
383,7,ctrlMel,i_err_x
384,7,ctrlMel,i_err_y
385,7,ctrlMel,i_err_z
386,7,posCtrlIndi,posRef_x
387,7,posCtrlIndi,posRef_y
388,7,posCtrlIndi,posRef_z
389,7,posCtrlIndi,velS_x
390,7,posCtrlIndi,velS_y
391,7,posCtrlIndi,velS_z
392,7,posCtrlIndi,velRef_x
393,7,posCtrlIndi,velRef_y
394,7,posCtrlIndi,velRef_z
395,7,posCtrlIndi,angS_roll
396,7,posCtrlIndi,angS_pitch
397,7,posCtrlIndi,angS_yaw
398,7,posCtrlIndi,angF_roll
399,7,posCtrlIndi,angF_pitch
400,7,posCtrlIndi,angF_yaw
401,7,posCtrlIndi,accRef_x
402,7,posCtrlIndi,accRef_y
403,7,posCtrlIndi,accRef_z
404,7,posCtrlIndi,accS_x
405,7,posCtrlIndi,accS_y
406,7,posCtrlIndi,accS_z
407,7,posCtrlIndi,accF_x
408,7,posCtrlIndi,accF_y
409,7,posCtrlIndi,accF_z
410,7,posCtrlIndi,accFT_x
411,7,posCtrlIndi,accFT_y
412,7,posCtrlIndi,accFT_z
413,7,posCtrlIndi,accErr_x
414,7,posCtrlIndi,accErr_y
415,7,posCtrlIndi,accErr_z
416,7,posCtrlIndi,phi_tilde
417,7,posCtrlIndi,theta_tilde
418,7,posCtrlIndi,T_tilde
419,7,posCtrlIndi,T_inner
420,7,posCtrlIndi,T_inner_f
421,7,posCtrlIndi,T_incremented
422,7,posCtrlIndi,cmd_phi
423,7,posCtrlIndi,cmd_theta
424,7,posCtl,targetVX
425,7,posCtl,targetVY
426,7,posCtl,targetVZ
427,7,posCtl,targetX
428,7,posCtl,targetY
429,7,posCtl,targetZ
430,7,posCtl,bodyVX
431,7,posCtl,bodyVY
432,7,posCtl,bodyX
433,7,posCtl,bodyY
434,7,posCtl,Xp
435,7,posCtl,Xi
436,7,posCtl,Xd
437,7,posCtl,Xff
438,7,posCtl,Yp
439,7,posCtl,Yi
440,7,posCtl,Yd
441,7,posCtl,Yff
442,7,posCtl,Zp
443,7,posCtl,Zi
444,7,posCtl,Zd
445,7,posCtl,Zff
446,7,posCtl,VXp
447,7,posCtl,VXi
448,7,posCtl,VXd
449,7,posCtl,VXff
450,7,posCtl,VYp
451,7,posCtl,VYi
452,7,posCtl,VYd
453,7,posCtl,VYff
454,7,posCtl,VZp
455,7,posCtl,VZi
456,7,posCtl,VZd
457,7,posCtl,VZff
458,7,ctrlLee,KR_x
459,7,ctrlLee,KR_y
460,7,ctrlLee,KR_z
461,7,ctrlLee,Kw_x
462,7,ctrlLee,Kw_y
463,7,ctrlLee,Kw_z
464,7,ctrlLee,Kpos_Px
465,7,ctrlLee,Kpos_Py
466,7,ctrlLee,Kpos_Pz
467,7,ctrlLee,Kpos_Dx
468,7,ctrlLee,Kpos_Dy
469,7,ctrlLee,Kpos_Dz
470,7,ctrlLee,thrustSi
471,7,ctrlLee,torquex
472,7,ctrlLee,torquey
473,7,ctrlLee,torquez
474,7,ctrlLee,rpyx
475,7,ctrlLee,rpyy
476,7,ctrlLee,rpyz
477,7,ctrlLee,rpydx
478,7,ctrlLee,rpydy
479,7,ctrlLee,rpydz
480,7,ctrlLee,error_posx
481,7,ctrlLee,error_posy
482,7,ctrlLee,error_posz
483,7,ctrlLee,error_velx
484,7,ctrlLee,error_vely
485,7,ctrlLee,error_velz
486,7,ctrlLee,omegax
487,7,ctrlLee,omegay
488,7,ctrlLee,omegaz
489,7,ctrlLee,omegarx
490,7,ctrlLee,omegary
491,7,ctrlLee,omegarz
492,7,kalman,stateX
493,7,kalman,stateY
494,7,kalman,stateZ
495,7,kalman,statePX
496,7,kalman,statePY
497,7,kalman,statePZ
498,7,kalman,stateD0
499,7,kalman,stateD1
500,7,kalman,stateD2
501,7,kalman,varX
502,7,kalman,varY
503,7,kalman,varZ
504,7,kalman,varPX
505,7,kalman,varPY
506,7,kalman,varPZ
507,7,kalman,varD0
508,7,kalman,varD1
509,7,kalman,varD2
510,7,kalman,q0
511,7,kalman,q1
512,7,kalman,q2
513,7,kalman,q3
514,7,kalman,rtUpdate
515,7,kalman,rtPred
516,7,kalman,rtFinal
517,6,outlierf,lhWin
518,7,estimator,rtApnd
519,7,estimator,rtRej
520,7,posEstAlt,estimatedZ
521,7,posEstAlt,estVZ
522,7,posEstAlt,velocityZ
523,1,DTR_P2P,rx_state
524,1,DTR_P2P,tx_state
